year,location_abbr,locationdesc,class,topic,question,response,break_out,breakout_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,data_value_footnote_symbol,data_value_footnote,datasource,class_id,topic_id,locationid,breakout_id,breakout_category_id,questionid,responseid,geolocation
2002,10420,"Akron, OH Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,202,37.7,32.6,42.8,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10420,BO1,CAT1,DRNKANY3,RESP054,POINT (-81.3501104 41.1466395)
2002,10420,"Akron, OH Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,337,62.3,57.2,67.4,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10420,BO1,CAT1,DRNKANY3,RESP046,POINT (-81.3501104 41.1466395)
2002,10740,"Albuquerque, NM Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,764,60.7,57.5,63.9,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10740,BO1,CAT1,DRNKANY3,RESP046,POINT (-106.4565348 35.1166033)
2002,10740,"Albuquerque, NM Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,545,39.3,36.1,42.5,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10740,BO1,CAT1,DRNKANY3,RESP054,POINT (-106.4565348 35.1166033)
2002,11260,"Anchorage, AK Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,333,64.1,59.1,69.1,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11260,BO1,CAT1,DRNKANY3,RESP046,POINT (-149.6610199 62.2190042)
2002,11260,"Anchorage, AK Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,175,35.9,30.9,40.9,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11260,BO1,CAT1,DRNKANY3,RESP054,POINT (-149.6610199 62.2190042)
2002,11700,"Asheville, NC Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,337,41.5,37.0,46.0,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11700,BO1,CAT1,DRNKANY3,RESP046,POINT (-82.681613 35.595669)
2002,11700,"Asheville, NC Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,481,58.5,54.0,63.0,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11700,BO1,CAT1,DRNKANY3,RESP054,POINT (-82.681613 35.595669)
2002,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,1012,55.9,52.9,58.9,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12060,BO1,CAT1,DRNKANY3,RESP046,POINT (-84.4389425 33.6952909)
2002,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,870,44.1,41.1,47.1,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12060,BO1,CAT1,DRNKANY3,RESP054,POINT (-84.4389425 33.6952909)
2002,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,973,58.4,55.5,61.3,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12580,BO1,CAT1,DRNKANY3,RESP046,POINT (-76.5495009 39.304361)
2002,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,680,41.6,38.7,44.5,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12580,BO1,CAT1,DRNKANY3,RESP054,POINT (-76.5495009 39.304361)
2002,12940,"Baton Rouge, LA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,352,53.3,49.0,57.6,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12940,BO1,CAT1,DRNKANY3,RESP046,POINT (-91.1346201 30.5708853)
2002,12940,"Baton Rouge, LA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,380,46.7,42.4,51.0,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12940,BO1,CAT1,DRNKANY3,RESP054,POINT (-91.1346201 30.5708853)
2002,13644,"Bethesda-Rockville-Frederick, MD Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,304,34.0,30.1,37.9,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13644,BO1,CAT1,DRNKANY3,RESP054,POINT (-77.3162147 39.3321236)
2002,13644,"Bethesda-Rockville-Frederick, MD Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,582,66.0,62.1,69.9,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13644,BO1,CAT1,DRNKANY3,RESP046,POINT (-77.3162147 39.3321236)
2002,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,312,42.9,38.8,47.0,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13820,BO1,CAT1,DRNKANY3,RESP046,POINT (-86.8143378 33.4623718)
2002,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,493,57.1,53.0,61.2,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13820,BO1,CAT1,DRNKANY3,RESP054,POINT (-86.8143378 33.4623718)
2002,14260,"Boise City, ID Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,654,56.8,53.5,60.1,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14260,BO1,CAT1,DRNKANY3,RESP046,POINT (-116.1419089 43.0066485)
2002,14260,"Boise City, ID Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,559,43.2,39.9,46.5,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14260,BO1,CAT1,DRNKANY3,RESP054,POINT (-116.1419089 43.0066485)
2002,14484,"Boston-Quincy, MA Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,632,32.4,29.7,35.1,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14484,BO1,CAT1,DRNKANY3,RESP054,POINT (-70.8754261 42.0625497)
2002,14484,"Boston-Quincy, MA Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,1340,67.6,64.9,70.3,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14484,BO1,CAT1,DRNKANY3,RESP046,POINT (-70.8754261 42.0625497)
2002,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,713,70.8,67.5,74.1,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14860,BO1,CAT1,DRNKANY3,RESP046,POINT (-73.3667574 41.2281028)
2002,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,290,29.2,25.9,32.5,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,14860,BO1,CAT1,DRNKANY3,RESP054,POINT (-73.3667574 41.2281028)
2002,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,396,29.8,26.9,32.7,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15540,BO1,CAT1,DRNKANY3,RESP054,POINT (-73.0416959 44.6859702)
2002,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,818,70.2,67.3,73.1,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15540,BO1,CAT1,DRNKANY3,RESP046,POINT (-73.0416959 44.6859702)
2002,15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,961,69.7,66.9,72.5,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15764,BO1,CAT1,DRNKANY3,RESP046,POINT (-71.396507 42.479477)
2002,15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,456,30.3,27.5,33.1,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15764,BO1,CAT1,DRNKANY3,RESP054,POINT (-71.396507 42.479477)
2002,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,557,46.1,41.6,50.6,33,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,16540,BO1,CAT1,DRNKANY3,RESP046,POINT (-77.7244853 39.9266863)
2002,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,755,53.9,49.4,58.4,34,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,16540,BO1,CAT1,DRNKANY3,RESP054,POINT (-77.7244853 39.9266863)
